state,sales,quantity,discount,profit,order_year,order_quarter,shipping_duration,profit_status,profit_margin,delivery_status,ship_mode_Same Day,ship_mode_Second Class,ship_mode_Standard Class,segment_Corporate,segment_Home Office,region_East,region_South,region_West,category_Office Supplies,category_Technology,subcategory_Appliances,subcategory_Art,subcategory_Binders,subcategory_Bookcases,subcategory_Chairs,subcategory_Copiers,subcategory_Envelopes,subcategory_Fasteners,subcategory_Furnishings,subcategory_Labels,subcategory_Machines,subcategory_Paper,subcategory_Phones,subcategory_Storage,subcategory_Supplies,subcategory_Tables,order_month_August,order_month_December,order_month_February,order_month_January,order_month_July,order_month_June,order_month_March,order_month_May,order_month_November,order_month_October,order_month_September,order_size_category_Medium,order_size_category_Small,transaction_value_segment_Low,transaction_value_segment_Medium,transaction_value_segment_Premium,discount_risk_tier_Low Discount,discount_risk_tier_Medium Discount,discount_risk_tier_No Discount
Utah,-0.5021790266198229,-0.8043696755165116,-0.7565542982020771,-0.20624062045971991,2014,2,-1.120512729544851,1,0.12784049524500246,0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True
California,-0.7802623295400761,-0.8043696755165116,-0.7565542982020771,-0.4608762190954426,2014,3,0.5961599564233158,1,0.363511943896802,1,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
California,0.4337306494632959,-0.35493908186616213,0.2122175547612757,-0.0020260992564477822,2014,3,0.5961599564233158,1,-0.09711861483171531,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
California,-0.696375248812535,0.09449151178418727,0.2122175547612757,-0.2946284368117756,2014,3,0.5961599564233158,1,0.43849831392237465,1,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
Nebraska,-0.7156882349122372,1.4427832927352355,-0.7565542982020771,-0.37346521360713947,2016,4,0.023935727767260166,1,0.29923791244631126,1,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Nebraska,-0.4735057589135165,1.4427832927352355,-0.7565542982020771,-0.01296773761223179,2016,4,0.023935727767260166,1,0.29923791244631126,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Pennsylvania,-0.40814966607550557,-0.8043696755165116,0.696603481242952,-0.579653706764245,2017,3,-1.120512729544851,0,-0.2884103751010332,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Utah,2.1248017789602343,-0.35493908186616213,-0.7565542982020771,1.8567126979935646,2015,3,0.5961599564233158,1,0.23496388099582047,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
California,-0.7619683108051435,-0.8043696755165116,0.2122175547612757,-0.40186056274372467,2016,1,0.023935727767260166,1,0.5188408532354883,1,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
California,-0.2944163203263999,-0.35493908186616213,-0.7565542982020771,-0.14572922247288086,2016,1,0.023935727767260166,1,0.020717109494184476,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
Pennsylvania,2.1248017789602343,1.4427832927352355,1.665375334206305,-1.8922059961834958,2015,3,0.023935727767260166,0,-1.4147362595667767,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
Pennsylvania,-0.7739944954009703,-0.8043696755165116,2.6341471871696576,-0.7842955827204089,2015,3,0.023935727767260166,0,-1.8289466844699398,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
Pennsylvania,-0.09518450359848941,-0.35493908186616213,0.2122175547612757,-0.018509782582272403,2015,3,0.023935727767260166,1,0.010004770919102674,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
Pennsylvania,-0.8116370456087949,-0.8043696755165116,0.2122175547612757,-0.5077088732853576,2015,3,0.023935727767260166,1,0.46527916036007916,1,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
Pennsylvania,-0.31968908066423113,0.9933526990848861,0.2122175547612757,-0.21576452638130753,2015,3,0.023935727767260166,1,-0.01677607551860186,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
Pennsylvania,-0.7903453670682029,0.9933526990848861,2.6341471871696576,-0.7389077945997946,2015,3,0.023935727767260166,0,-2.0431934559715756,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
Pennsylvania,-0.7376078817125128,-0.8043696755165116,0.2122175547612757,-0.42480205122435805,2015,3,0.023935727767260166,1,0.22425154242073866,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
Texas,-0.6563748555164644,-0.35493908186616213,0.2122175547612757,-0.2077058367553488,2017,4,0.023935727767260166,1,0.46527916036007916,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
Texas,2.1248017789602343,1.4427832927352355,0.2122175547612757,1.8567126979935646,2016,4,-1.120512729544851,1,-0.01677607551860186,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Texas,0.3000800462702641,0.5439221054345367,2.1497612606879812,-1.8922059961834958,2016,4,-1.120512729544851,0,-1.9182161725956213,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Texas,-0.15959271981811005,2.341644480035934,0.2122175547612757,0.6561002201968479,2015,4,0.023935727767260166,1,0.41171746748467014,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Texas,2.1248017789602343,-0.35493908186616213,0.7934806665392874,-1.8922059961834958,2015,4,0.023935727767260166,0,-0.44684496242997407,1,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
Texas,0.42530639601735215,-0.35493908186616213,0.696603481242952,-1.058813352478762,2015,4,0.023935727767260166,0,-0.4108371016733966,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Texas,1.3679104507178526,0.09449151178418727,0.2122175547612757,0.8711817622593674,2015,4,0.023935727767260166,1,-0.016776075518601823,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
Illinois,0.040883184971437656,0.09449151178418727,0.2122175547612757,0.016472256475866583,2017,3,0.5961599564233158,1,-0.01677607551860186,1,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
California,-0.36959478462248024,-0.8043696755165116,-0.7565542982020771,-0.4129989199540144,2016,3,0.5961599564233158,1,-0.15068030770712432,1,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Florida,-0.2645226614739159,-0.8043696755165116,0.2122175547612757,-0.22077068205803943,2017,3,0.023935727767260166,1,-0.043556921956306324,1,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
Minnesota,-0.5585776854140456,-0.8043696755165116,-0.7565542982020771,0.12551555255102353,2016,1,-1.120512729544851,1,0.6634574239990926,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True
Minnesota,-0.7275366926421158,-0.8043696755165116,-0.7565542982020771,-0.26674184333339485,2016,1,-1.120512729544851,1,0.7491561325997468,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True
Michigan,0.4247258215885882,0.09449151178418727,-0.7565542982020771,-0.2575096239891778,2014,4,0.5961599564233158,1,-0.17210498485728792,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
Delaware,-0.5643834297016862,-0.35493908186616213,-0.7565542982020771,-0.37718252161642013,2016,2,0.5961599564233158,1,-0.022132244806142724,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
Delaware,-0.7018255393682792,-0.8043696755165116,-0.7565542982020771,-0.3380422529785566,2016,2,0.5961599564233158,1,0.3420872667466385,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
Indiana,-0.604549701405975,0.9933526990848861,-0.7565542982020771,0.06419353721544538,2015,2,0.023935727767260166,1,0.7491561325997468,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Indiana,-0.38559020255781645,0.9933526990848861,-0.7565542982020771,0.653373289868872,2015,2,0.023935727767260166,1,0.7491561325997468,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Indiana,-0.7944804788159306,-0.8043696755165116,-0.7565542982020771,-0.4447859734786294,2015,2,0.023935727767260166,1,0.7705808097499104,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Indiana,-0.2978523730680647,-1.253800269166861,-0.7565542982020771,0.03484511914582378,2015,2,0.023935727767260166,1,0.14926517239516607,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
New York,-0.7405699961449824,1.4427832927352355,-0.7565542982020771,-0.33286651208242324,2016,4,1.1683841850793713,1,0.6206080696987653,1,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
New York,2.1248017789602343,0.5439221054345367,-0.7565542982020771,1.8567126979935646,2016,4,1.1683841850793713,1,0.363511943896802,1,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
New York,0.40458344344779434,0.9933526990848861,-0.7565542982020771,1.2233627790948263,2016,2,-1.6927369582009066,1,0.27781323529614765,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
New York,-0.639028713399922,0.5439221054345367,-0.7565542982020771,-0.01759402239750439,2016,2,-1.6927369582009066,1,0.7705808097499104,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
New York,1.0612842131263218,0.5439221054345367,-0.2721683717204007,-0.30432871136154077,2016,2,-1.6927369582009066,1,-0.2101932997909121,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
New York,-0.74471695635044,-0.8043696755165116,-0.7565542982020771,-0.3080324525532692,2016,2,-1.6927369582009066,1,0.7705808097499104,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
New York,-0.6532468626757765,-0.8043696755165116,-0.7565542982020771,-0.4331456440189112,2016,2,-1.6927369582009066,1,-0.022132244806142724,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
New York,-0.5437671132516972,0.09449151178418727,0.2122175547612757,0.009878783145536663,2016,2,-1.6927369582009066,1,0.46527916036007916,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
New York,-0.8210210241308589,-1.253800269166861,-0.7565542982020771,-0.5165815719644434,2016,2,-1.6927369582009066,1,0.8134301640502376,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
California,-0.7481530090921048,-0.8043696755165116,-0.7565542982020771,-0.3364413685074066,2015,4,1.1683841850793713,1,0.6848821011492561,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True
California,-0.6779864424157632,0.9933526990848861,0.2122175547612757,-0.22756765765165107,2015,4,1.1683841850793713,1,0.5188408532354881,1,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
California,0.038288372728594124,-0.35493908186616213,-0.7565542982020771,1.7939525999974615,2015,4,1.1683841850793713,1,0.7491561325997468,1,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
California,-0.3584572343563942,0.09449151178418727,-0.7565542982020771,0.21239066874601792,2015,4,1.1683841850793713,1,0.3420872667466385,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
Illinois,0.43156830592759315,0.5439221054345367,0.696603481242952,-1.0613740892917245,2015,2,0.5961599564233158,0,-0.4108371016733966,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Arizona,2.1248017789602343,1.8922138863855849,0.2122175547612757,1.8567126979935646,2014,4,0.5961599564233158,1,-0.04355692195630628,1,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Arizona,0.16410714536217608,0.09449151178418727,0.2122175547612757,1.591294871108295,2014,4,0.5961599564233158,1,0.5456216996731926,1,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
Virginia,-0.381443242352359,-0.8043696755165116,-0.7565542982020771,0.66453199730549,2016,2,-1.120512729544851,1,0.749156132599747,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
New York,-0.803627488183397,-1.253800269166861,0.2122175547612757,-0.48636148586709826,2016,3,0.5961599564233158,1,0.5456216996731927,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
Michigan,-0.7181171687468624,-0.35493908186616213,-0.7565542982020771,-0.24785683330084515,2017,3,-0.5482885008887954,1,0.7277314554495832,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True
Tennessee,2.1248017789602343,1.8922138863855849,0.2122175547612757,-1.8922059961834958,2015,2,1.1683841850793713,0,-0.5523930042726917,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Tennessee,-0.25608655957024223,-0.8043696755165116,0.2122175547612757,-0.5039305145970924,2015,2,1.1683841850793713,1,-0.23102284702023781,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
Tennessee,-0.39978465491821114,-1.253800269166861,0.2122175547612757,-1.1622264192697895,2015,2,1.1683841850793713,0,-0.7934206222120324,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
Texas,-0.8235802910005128,-0.35493908186616213,3.1185331136513343,-0.6106810185059413,2017,4,-1.120512729544851,0,-3.5786286517332995,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
Texas,-0.7734613148031257,-0.35493908186616213,2.1497612606879812,-0.7426318860178512,2017,4,-1.120512729544851,0,-1.5432843224677584,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
Texas,-0.6695977343430091,-0.35493908186616213,0.2122175547612757,-0.45268186129396265,2017,4,-1.120512729544851,1,-0.04355692195630628,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
Texas,-0.7166361115306276,0.5439221054345367,2.1497612606879812,-1.036021098991202,2014,4,0.5961599564233158,0,-1.8646544797202123,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
Alabama,0.4022137519018186,-1.253800269166861,-0.7565542982020771,1.3611745117892518,2016,2,-0.5482885008887954,1,0.32066258959647487,0,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True
Alabama,-0.7318021374248723,-0.35493908186616213,-0.7565542982020771,-0.2725416578369258,2016,2,-0.5482885008887954,1,0.7705808097499106,0,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
